05035,Crittenden County,AR,50960,50504,50061,49731,49550,49040,49320,48750
05037,Cross County,AR,17850,17796,17691,17511,17171,17240,17037,16863
05039,Dallas County,AR,8064,8047,7947,7887,7687,7529,7430,7393
05041,Desha County,AR,12952,12727,12585,12489,12268,12029,11920,11764
05043,Drew County,AR,18666,18725,18776,18672,18635,18617,18628,18547
05045,Faulkner County,AR,114028,116223,118421,119096,120463,121113,122083,123654
05047,Franklin County,AR,18128,17993,17945,17900,17815,17739,17671,17890
05049,Fulton County,AR,12215,12238,12170,12171,12074,12121,12039,12055
05051,Garland County,AR,96077,96834,96969,97627,97720,97734,98231,98658
05053,Grant County,AR,17885,17932,18023,18035,18069,18016,18094,18165
05055,Greene County,AR,42200,42751,43208,43145,43772,44301,44715,45053
05057,Hempstead County,AR,22599,22490,22349,22430,22348,22103,22026,21861
05059,Hot Spring County,AR,33227,33129,33492,33506,33396,33478,33446,33574
05061,Howard County,AR,13808,13821,13685,13555,13516,13375,13438,13478
05063,Independence County,AR,36804,36846,36917,36834,37043,37010,37094,37504
05065,Izard County,AR,13723,13567,13529,13400,13547,13480,13490,13686
05067,Jackson County,AR,18056,17884,17679,17730,17595,17376,17309,17135
05069,Jefferson County,AR,77326,76008,74604,73163,72422,71822,70342,69115
05071,Johnson County,AR,25551,25641,25879,25901,25972,26126,26225,26552
05073,Lafayette County,AR,7647,7533,7448,7284,7163,7016,6928,6862
05075,Lawrence County,AR,17517,17276,17037,17050,16970,16700,16639,16525
05077,Lee County,AR,10393,10291,10187,10012,9844,9679,9360,9176
05079,Lincoln County,AR,14089,14336,14177,14059,14031,13877,13810,13646
05081,Little River County,AR,13131,12944,12917,12741,12522,12420,12430,12359
05083,Logan County,AR,22298,22229,21909,22011,21849,21713,21713,21722
05085,Lonoke County,AR,68711,69458,70013,70651,71264,71268,71757,72898
05087,Madison County,AR,15684,15656,15590,15674,15721,15696,16105,16339
05089,Marion County,AR,16667,16673,16619,16442,16422,16209,16369,16428
05091,Miller County,AR,43558,43751,43653,43456,43569,43919,43874,43984
05093,Mississippi County,AR,46391,46011,45537,44676,44232,43717,42885,42159
05095,Monroe County,AR,8138,8098,7853,7690,7635,7453,7235,7085
05097,Montgomery County,AR,9506,9397,9336,9249,9155,9022,8949,8919
05099,Nevada County,AR,8995,9005,8907,8774,8651,8515,8374,8327
05101,Newton County,AR,8316,8262,8062,8054,7878,7860,7869,7828
05103,Ouachita County,AR,26040,25728,25388,24941,24750,24312,24019,23868
05105,Perry County,AR,10441,10377,10321,10329,10352,10299,10273,10348
05107,Phillips County,AR,21675,21405,20740,20443,19962,19562,19050,18572
05109,Pike County,AR,11262,11232,11248,11110,10982,10830,10817,10726
05111,Poinsett County,AR,24518,24440,24282,24172,24144,24010,24008,24154
05113,Polk County,AR,20669,20554,20416,20344,20253,20203,20141,20118
05115,Pope County,AR,62105,62654,62576,62542,63073,63559,63852,63835
05117,Prairie County,AR,8724,8600,8484,8377,8349,8301,8271,8248
05119,Pulaski County,AR,383536,386679,388738,391068,392434,393107,393677,393956
05121,Randolph County,AR,17954,17970,17839,17625,17561,17417,17408,17557
05123,St. Francis County,AR,28195,27980,27973,27491,27078,26636,26304,25930
05125,Saline County,AR,107644,109509,111360,113276,114781,116304,117577,119323
05127,Scott County,AR,11251,11235,11006,10907,10665,10544,10360,10445
05129,Searcy County,AR,8177,8070,7996,7981,7915,7828,7965,7938
05131,Sebastian County,AR,125755,126926,127441,127067,126683,127387,127567,128107
05133,Sevier County,AR,17143,17175,17151,17322,17388,17250,16955,17115
05135,Sharp County,AR,17251,17269,17031,17042,16817,16817,17138,17393
05137,Stone County,AR,12390,12497,12541,12422,12378,12380,12500,12537
05139,Union County,AR,41571,41387,40850,40593,40129,40073,39867,39449
05141,Van Buren County,AR,17298,17198,17147,16972,16887,16769,16622,16506
05143,Washington County,AR,203970,207734,211222,215525,219442,223851,227600,231996
05145,White County,AR,77336,78005,78545,78471,78368,78835,78838,79016
05147,Woodruff County,AR,7249,7176,7066,7031,6871,6718,6623,6571
05149,Yell County,AR,22142,21924,21791,21779,21737,21482,21486,21523
06001,Alameda County,CA,1513402,1532215,1556648,1582936,1611572,1637141,1653236,1663190
06003,Alpine County,CA,1161,1093,1110,1127,1084,1088,1057,1120
06005,Amador County,CA,37884,37539,37112,36635,36748,37047,37473,38626
06007,Butte County,CA,219957,220003,220969,221768,223629,224818,226525,229294
06009,Calaveras County,CA,45470,45163,44826,44667,44677,44954,45315,45670
06011,Colusa County,CA,21453,21366,21350,21336,21268,21341,21645,21805
06013,Contra Costa County,CA,1052799,1066182,1079093,1095310,1110971,1126027,1138645,1147439
06015,Del Norte County,CA,28566,28447,28203,27830,27206,27253,27450,27470
06017,El Dorado County,CA,181149,180975,180680,181618,183333,184865,186272,188987
06019,Fresno County,CA,932218,940360,946851,953787,963170,972333,979534,989255
06021,Glenn County,CA,28130,28160,27894,27866,27909,27841,27967,28094
06023,Humboldt County,CA,135019,135239,134596,134444,134584,135219,136449,136754
06025,Imperial County,CA,174778,176157,177241,177267,178868,179839,180980,182830
06027,Inyo County,CA,18517,18401,18370,18377,18340,18197,18034,18026
06029,Kern County,CA,841116,848767,855237,864014,871895,879607,885086,893119
06031,Kings County,CA,152404,152030,151265,150675,149862,150482,149797,150101
06033,Lake County,CA,64742,64273,64005,63855,64113,64310,63950,64246
06035,Lassen County,CA,34831,34244,33632,32135,31716,31393,30944,31163
06037,Los Angeles County,CA,9824490,9885998,9956152,10018604,10072695,10123248,10150558,10163507
06039,Madera County,CA,151037,151876,151900,151819,154103,154423,154966,156890
06041,Marin County,CA,252940,255505,256381,258856,261007,261718,261532,260955
06043,Mariposa County,CA,18280,18174,17893,17820,17730,17649,17524,17569
06045,Mendocino County,CA,87799,87367,87376,87164,87375,87318,87609,88018
06047,Merced County,CA,256772,259607,261407,262712,265281,267406,268878,272673
06049,Modoc County,CA,9699,9515,9359,9154,9083,9050,8941,8859
06051,Mono County,CA,14204,14329,14248,13997,14072,13954,14101,14168
06053,Monterey County,CA,416475,421162,426094,428382,430416,432774,436363,437907
06055,Napa County,CA,136794,137905,138876,139978,140918,141507,141649,140973
06057,Nevada County,CA,98791,98714,98173,97992,98614,98715,99053,99814
06059,Orange County,CA,3017116,3053465,3085386,3113649,3136750,3160576,3177703,3190400
06061,Placer County,CA,350034,356445,360569,365822,369727,373469,379742,386166
06063,Plumas County,CA,19914,19716,19377,18899,18667,18525,18787,18742
06065,Riverside County,CA,2202001,2235890,2264804,2291406,2321738,2352080,2386522,2423266
06067,Sacramento County,CA,1421651,1434506,1446585,1459474,1477522,1496130,1513260,1530615
06069,San Benito County,CA,55532,56034,56701,57370,57974,58364,59335,60310
06071,San Bernardino County,CA,2041234,2062381,2076601,2086732,2104038,2120794,2137131,2157404
06073,San Diego County,CA,3103793,3139767,3179798,3216522,3256875,3290044,3317200,3337685
06075,San Francisco County,CA,805770,816294,830406,841270,853258,866320,876103,884363
06077,San Joaquin County,CA,687291,695071,700958,703747,713452,723846,734294,745424
06079,San Luis Obispo County,CA,269819,271150,274378,275973,278534,280402,282282,283405
06081,San Mateo County,CA,719899,729022,740644,750345,759156,766779,769561,771410
